customer_id,session_id,journey_id,journey_type,customer_segment,age_group,channel,device_type,step_name,step_order,step_duration_seconds,error_count,support_contact,timestamp,completed,abandoned,abandonment_reason
CUST002170,SESS000001,JRNY000001,bank_transfer,existing_customer,18-25,mobile_app,mobile,login,1,108.8,0,True,2026-03-03 00:07:24.708094970,True,False,
CUST002170,SESS000001,JRNY000001,bank_transfer,existing_customer,18-25,mobile_app,mobile,service_selection,2,14.2,1,False,2026-03-03 00:07:40.074072759,True,False,
CUST002170,SESS000001,JRNY000001,bank_transfer,existing_customer,18-25,mobile_app,mobile,recipient_details,3,19.7,0,False,2026-03-03 00:08:03.486248139,True,False,
CUST002170,SESS000001,JRNY000001,bank_transfer,existing_customer,18-25,mobile_app,mobile,amount_entry,4,19.6,0,False,2026-03-03 00:08:24.887235475,True,False,
CUST002170,SESS000001,JRNY000001,bank_transfer,existing_customer,18-25,mobile_app,mobile,otp_verification,5,18.1,0,False,2026-03-03 00:08:46.717346842,True,False,
CUST002170,SESS000001,JRNY000001,bank_transfer,existing_customer,18-25,mobile_app,mobile,confirmation,6,5.7,0,False,2026-03-03 00:08:56.364780879,True,False,
CUST000816,SESS000002,JRNY000002,account_opening,premium_customer,46-60,web_browser,desktop,login,1,10.9,0,False,2026-03-03 00:11:51.202718672,True,False,
CUST000816,SESS000002,JRNY000002,account_opening,premium_customer,46-60,web_browser,desktop,service_selection,2,3.0,0,False,2026-03-03 00:11:55.657936181,True,False,
CUST000816,SESS000002,JRNY000002,account_opening,premium_customer,46-60,web_browser,desktop,personal_information,3,42.3,0,False,2026-03-03 00:12:41.048521052,True,False,
CUST000816,SESS000002,JRNY000002,account_opening,premium_customer,46-60,web_browser,desktop,document_upload,4,59.7,1,False,2026-03-03 00:13:44.209873694,True,False,
CUST000816,SESS000002,JRNY000002,account_opening,premium_customer,46-60,web_browser,desktop,identity_verification,5,124.2,2,True,2026-03-03 00:15:50.131124647,True,False,
CUST000816,SESS000002,JRNY000002,account_opening,premium_customer,46-60,web_browser,desktop,confirmation,6,5.4,0,False,2026-03-03 00:15:56.688995344,True,False,
CUST003307,SESS000003,JRNY000003,personal_data_update,new_customer,60+,mobile_app,mobile,login,1,9.6,0,False,2026-03-03 00:51:51.444307011,True,False,
CUST003307,SESS000003,JRNY000003,personal_data_update,new_customer,60+,mobile_app,mobile,service_selection,2,9.7,0,False,2026-03-03 00:52:04.342139198,True,False,
CUST003307,SESS000003,JRNY000003,personal_data_update,new_customer,60+,mobile_app,mobile,update_information,3,14.8,0,False,2026-03-03 00:52:23.029005220,True,False,
CUST003307,SESS000003,JRNY000003,personal_data_update,new_customer,60+,mobile_app,mobile,identity_verification,4,77.5,0,False,2026-03-03 00:53:42.121538746,True,False,
CUST003307,SESS000003,JRNY000003,personal_data_update,new_customer,60+,mobile_app,mobile,confirmation,5,9.6,0,False,2026-03-03 00:53:54.621206501,True,False,
CUST002794,SESS000004,JRNY000004,account_opening,premium_customer,26-35,mobile_app,mobile,login,1,144.5,0,True,2026-03-03 01:07:36.880972074,True,False,
CUST002794,SESS000004,JRNY000004,account_opening,premium_customer,26-35,mobile_app,mobile,service_selection,2,3.4,0,False,2026-03-03 01:07:44.039850963,True,False,
CUST002794,SESS000004,JRNY000004,account_opening,premium_customer,26-35,mobile_app,mobile,personal_information,3,62.7,0,False,2026-03-03 01:08:47.867528023,True,False,
CUST002794,SESS000004,JRNY000004,account_opening,premium_customer,26-35,mobile_app,mobile,document_upload,4,300.7,1,True,2026-03-03 01:13:50.568543594,True,False,
CUST002794,SESS000004,JRNY000004,account_opening,premium_customer,26-35,mobile_app,mobile,identity_verification,5,178.4,1,True,2026-03-03 01:16:51.592668883,True,False,
CUST002794,SESS000004,JRNY000004,account_opening,premium_customer,26-35,mobile_app,mobile,confirmation,6,4.4,0,False,2026-03-03 01:16:57.110085294,True,False,
CUST003954,SESS000005,JRNY000005,personal_data_update,existing_customer,46-60,mobile_app,mobile,login,1,8.7,0,False,2026-03-03 01:44:59.879586646,True,False,
CUST003954,SESS000005,JRNY000005,personal_data_update,existing_customer,46-60,mobile_app,mobile,service_selection,2,8.7,0,False,2026-03-03 01:45:10.149759548,True,False,
CUST003954,SESS000005,JRNY000005,personal_data_update,existing_customer,46-60,mobile_app,mobile,update_information,3,33.2,0,False,2026-03-03 01:45:45.516015109,True,False,
CUST003954,SESS000005,JRNY000005,personal_data_update,existing_customer,46-60,mobile_app,mobile,identity_verification,4,62.0,0,False,2026-03-03 01:46:50.731758860,True,False,
CUST003954,SESS000005,JRNY000005,personal_data_update,existing_customer,46-60,mobile_app,mobile,confirmation,5,12.0,0,False,2026-03-03 01:47:04.128297637,True,False,
CUST003797,SESS000006,JRNY000006,personal_data_update,existing_customer,36-45,web_browser,desktop,login,1,10.8,0,False,2026-03-03 01:53:40.986321183,False,True,too_long_or_complex
CUST003797,SESS000006,JRNY000006,personal_data_update,existing_customer,36-45,web_browser,desktop,service_selection,2,12.1,0,False,2026-03-03 01:53:55.134813518,False,True,too_long_or_complex
CUST003671,SESS000007,JRNY000007,bank_transfer,existing_customer,18-25,web_browser,tablet,login,1,17.3,0,False,2026-03-03 02:55:20.934119159,True,False,
CUST003671,SESS000007,JRNY000007,bank_transfer,existing_customer,18-25,web_browser,tablet,service_selection,2,11.2,0,False,2026-03-03 02:55:35.252677341,True,False,
CUST003671,SESS000007,JRNY000007,bank_transfer,existing_customer,18-25,web_browser,tablet,recipient_details,3,23.6,0,False,2026-03-03 02:56:02.061149872,True,False,
CUST003671,SESS000007,JRNY000007,bank_transfer,existing_customer,18-25,web_browser,tablet,amount_entry,4,41.4,0,False,2026-03-03 02:56:46.438646530,True,False,
CUST003671,SESS000007,JRNY000007,bank_transfer,existing_customer,18-25,web_browser,tablet,otp_verification,5,3.6,0,False,2026-03-03 02:56:53.617790724,True,False,
CUST003671,SESS000007,JRNY000007,bank_transfer,existing_customer,18-25,web_browser,tablet,confirmation,6,7.2,0,False,2026-03-03 02:57:02.114862731,True,False,
CUST001630,SESS000008,JRNY000008,personal_data_update,existing_customer,26-35,mobile_app,mobile,login,1,5.2,0,False,2026-03-03 03:13:48.758651251,True,False,
CUST001630,SESS000008,JRNY000008,personal_data_update,existing_customer,26-35,mobile_app,mobile,service_selection,2,11.8,0,False,2026-03-03 03:14:03.320417631,True,False,
CUST001630,SESS000008,JRNY000008,personal_data_update,existing_customer,26-35,mobile_app,mobile,update_information,3,25.0,0,False,2026-03-03 03:14:31.311214475,True,False,
CUST001630,SESS000008,JRNY000008,personal_data_update,existing_customer,26-35,mobile_app,mobile,identity_verification,4,63.7,0,False,2026-03-03 03:15:36.823069001,True,False,
CUST001630,SESS000008,JRNY000008,personal_data_update,existing_customer,26-35,mobile_app,mobile,confirmation,5,9.3,1,False,2026-03-03 03:15:48.639922838,True,False,
CUST002079,SESS000009,JRNY000009,bank_transfer,existing_customer,26-35,web_browser,tablet,login,1,3.3,0,False,2026-03-03 04:34:08.985311447,True,False,
CUST002079,SESS000009,JRNY000009,bank_transfer,existing_customer,26-35,web_browser,tablet,service_selection,2,11.6,0,False,2026-03-03 04:34:24.245828705,True,False,
CUST002079,SESS000009,JRNY000009,bank_transfer,existing_customer,26-35,web_browser,tablet,recipient_details,3,21.0,0,False,2026-03-03 04:34:46.759380824,True,False,
CUST002079,SESS000009,JRNY000009,bank_transfer,existing_customer,26-35,web_browser,tablet,amount_entry,4,22.5,0,False,2026-03-03 04:35:10.985716406,True,False,
CUST002079,SESS000009,JRNY000009,bank_transfer,existing_customer,26-35,web_browser,tablet,otp_verification,5,15.7,1,False,2026-03-03 04:35:30.655428827,True,False,
CUST002079,SESS000009,JRNY000009,bank_transfer,existing_customer,26-35,web_browser,tablet,confirmation,6,3.3,0,False,2026-03-03 04:35:36.252321184,True,False,
CUST001969,SESS000010,JRNY000010,bank_transfer,existing_customer,26-35,mobile_app,mobile,login,1,9.7,0,False,2026-03-03 04:53:27.240136638,True,False,
CUST001969,SESS000010,JRNY000010,bank_transfer,existing_customer,26-35,mobile_app,mobile,service_selection,2,11.5,0,False,2026-03-03 04:53:40.793201123,True,False,
CUST001969,SESS000010,JRNY000010,bank_transfer,existing_customer,26-35,mobile_app,mobile,recipient_details,3,39.9,0,False,2026-03-03 04:54:22.489981467,True,False,
CUST001969,SESS000010,JRNY000010,bank_transfer,existing_customer,26-35,mobile_app,mobile,amount_entry,4,15.9,0,False,2026-03-03 04:54:40.894420029,True,False,
CUST001969,SESS000010,JRNY000010,bank_transfer,existing_customer,26-35,mobile_app,mobile,otp_verification,5,28.5,0,False,2026-03-03 04:55:11.389711791,True,False,
CUST001969,SESS000010,JRNY000010,bank_transfer,existing_customer,26-35,mobile_app,mobile,confirmation,6,6.0,0,False,2026-03-03 04:55:19.271006975,True,False,
CUST001894,SESS000011,JRNY000011,bank_transfer,new_customer,60+,mobile_app,mobile,login,1,9.6,1,False,2026-03-03 05:22:59.344166742,True,False,
CUST001894,SESS000011,JRNY000011,bank_transfer,new_customer,60+,mobile_app,mobile,service_selection,2,21.2,0,False,2026-03-03 05:23:22.451150629,True,False,
CUST001894,SESS000011,JRNY000011,bank_transfer,new_customer,60+,mobile_app,mobile,recipient_details,3,39.0,0,False,2026-03-03 05:24:03.390087702,True,False,
CUST001894,SESS000011,JRNY000011,bank_transfer,new_customer,60+,mobile_app,mobile,amount_entry,4,29.9,0,False,2026-03-03 05:24:35.864714942,True,False,
CUST001894,SESS000011,JRNY000011,bank_transfer,new_customer,60+,mobile_app,mobile,otp_verification,5,30.7,1,False,2026-03-03 05:25:09.607440116,True,False,
